date_time,seedling_ID,photo_ID,sample
9/21/22,3918,2022_0921_143408_196,2
9/21/22,3855,2022_0921_143605_198,2
9/21/22,4001,2022_0921_143744_200,2
9/21/22,3513,2022_0921_143951_202,2
9/21/22,3812,2022_0921_144057_204,2
9/21/22,3862,2022_0921_144228_206,2
9/21/22,3415,2022_0921_144338_208,2
9/21/22,4380,2022_0921_144513_210,2
9/21/22,4105,2022_0921_144627_212,2
9/21/22,3808,2022_0921_144745_214,2
9/21/22,4222,2022_0921_144901_216,2
9/21/22,3916,2022_0921_145027_218,2
9/21/22,4238,2022_0921_145147_220,2
9/21/22,3498,2022_0921_145259_222,2
9/21/22,3835,2022_0921_145359_224,2
9/21/22,3058,2022_0921_145648_226,2
9/21/22,4148,2022_0921_145808_228,2
9/21/22,4334,2022_0921_150028_230,2
9/21/22,3680,2022_0921_150140_232,2
9/21/22,4396,2022_0921_150312_234,2
9/21/22,3377,2022_0921_150421_236,2
9/21/22,4043,2022_0921_150558_238,2
9/21/22,4394,2022_0921_150720_240,2
9/21/22,4024,2022_0921_150930_242,2
9/21/22,3544,2022_0921_151113_244,2
9/21/22,3842,2022_0921_151256_246,2
9/21/22,3568,2022_0921_151423_248,2
9/21/22,3834,2022_0921_151653_250,2
9/21/22,4397,2022_0921_151902_252,2
9/21/22,4047,2022_0921_152034_254,2
9/21/22,4419,2022_0921_152137_256,2
9/21/22,4405,2022_0921_152322_258,2
9/21/22,4318,2022_0921_152438_260,2
9/21/22,3630,2022_0921_152609_262,2
9/21/22,3810,2022_0921_152723_264,2
9/21/22,4278,2022_0921_152856_266,2
9/21/22,3798,2022_0921_153028_268,2
9/21/22,4254,2022_0921_153215_270,2
9/21/22,3725,2022_0921_153330_272,2
9/21/22,4412,2022_0921_153445_274,2
9/21/22,3426,2022_0921_153554_276,2
9/21/22,4160,2022_0921_153754_278,2
9/21/22,3973,2022_0921_153954_280,2
9/21/22,3824,2022_0921_154104_282,2
9/21/22,4134,2022_0921_154447_284,2
9/21/22,3547,2022_0921_154618_286,2
9/21/22,4038,2022_0921_154758_288,2
9/21/22,3772,2022_0921_154949_290,2
9/21/22,3982,2022_0921_155144_292,2
9/21/22,3734,2022_0921_155313_294,2
9/21/22,4335,2022_0921_155429_296,2
9/21/22,3551,2022_0921_155636_298,2
9/21/22,3052,2022_0921_155802_300,2
9/21/22,3728,2022_0921_155912_302,2
9/21/22,4279,2022_0921_160027_304,2
9/21/22,4285,2022_0921_160144_306,2
9/21/22,3284,2022_0921_160306_308,2
9/21/22,3967,2022_0921_160525_310,2
9/21/22,6393,2022_0921_160703_312,2
9/21/22,3899,2022_0921_160833_314,2
9/21/22,3736,2022_0921_160941_316,2
9/21/22,4426,2022_0921_161108_318,2
9/21/22,3665,2022_0921_161225_320,2
9/21/22,3653,2022_0921_161350_322,2
9/21/22,4098,2022_0921_161509_324,2
9/21/22,3695,2022_0921_161632_326,2
9/21/22,3714,2022_0921_162030_328,2
9/21/22,4000,2022_0921_162217_330,2
9/21/22,3559,2022_0921_162327_332,2
9/21/22,3773,2022_0921_162436_334,2
9/21/22,3473,2022_0921_162535_336,2
9/21/22,3933,2022_0921_162644_338,2
9/21/22,3245,2022_0921_162749_340,2
9/21/22,4243,2022_0921_162911_342,2
9/21/22,3836,2022_0921_163011_344,2
9/21/22,4021,2022_0921_163134_346,2
9/21/22,3590,2022_0921_163245_348,2
9/22/22,3007,2022_0922_164826_002,2
9/22/22,4139,2022_0922_165101_004,2
9/22/22,3251,2022_0922_165218_006,2
9/22/22,3872,2022_0922_165402_008,2
9/22/22,3269,2022_0922_165515_010,2
9/22/22,3270,2022_0922_165624_012,2
9/22/22,3589,2022_0922_165831_014,2
9/22/22,4140,2022_0922_170030_016,2
9/22/22,4157,2022_0922_170340_018,2
9/22/22,4004,2022_0922_170511_020,2
9/22/22,3880,2022_0922_170721_022,2
9/22/22,4127,2022_0922_170953_024,2
9/22/22,4019,2022_0922_171113_026,2
9/22/22,4330,2022_0922_171226_028,2
9/22/22,3613,2022_0922_171400_030,2
9/22/22,3558,2022_0922_171455_032,2
9/22/22,3597,2022_0922_171723_034,2
9/22/22,4386,2022_0922_171844_036,2
9/22/22,4415,2022_0922_171953_038,2
9/22/22,4328,2022_0922_172052_040,2
9/22/22,3055,2022_0922_172253_042,2
9/22/22,3076,2022_0922_172424_044,2
9/22/22,3051,2022_0922_172544_046,2
9/22/22,3486,2022_0922_172701_048,2
9/22/22,3264,2022_0922_172812_050,2
9/22/22,4262,2022_0922_172927_052,2
9/22/22,3331,2022_0922_173055_054,2
9/22/22,3334,2022_0922_173158_056,2
9/22/22,3890,2022_0922_173307_058,2
9/22/22,4315,2022_0922_173430_060,2
9/22/22,3188,2022_0922_173600_062,2
9/22/22,4034,2022_0922_173712_064,2
9/22/22,3789,2022_0922_173834_066,2
9/22/22,3779,2022_0922_173927_068,2
9/22/22,4033,2022_0922_174053_070,2
9/22/22,4025,2022_0922_174212_072,2
9/23/22,4230,2022_0923_151158_002,2
9/23/22,3701,2022_0923_151416_004,2
9/23/22,4320,2022_0923_151542_006,2
9/23/22,4162,2022_0923_151710_008,2
9/23/22,3276,2022_0923_151837_010,2
9/23/22,4324,2022_0923_151955_012,2
9/23/22,3570,2022_0923_152153_014,2
9/23/22,3562,2022_0923_152416_016,2
9/23/22,4429,2022_0923_152534_018,2
9/23/22,3615,2022_0923_152709_020,2
9/23/22,4170,2022_0923_152933_022,2
9/23/22,3704,2022_0923_153109_024,2
9/23/22,3955,2022_0923_153318_026,2
9/23/22,4028,2022_0923_153437_028,2
9/23/22,3601,2022_0923_153646_030,2
9/23/22,3141,2022_0923_153811_032,2
9/23/22,3767,2022_0923_153952_034,2
9/23/22,3577,2022_0923_154117_036,2
9/23/22,3804,2022_0923_154239_038,2
9/23/22,4401,2022_0923_154354_040,2
9/23/22,3005,2022_0923_154546_042,2
9/23/22,3002,2022_0923_154659_044,2
9/23/22,3128,2022_0923_154835_046,2
9/23/22,4297,2022_0923_154950_048,2
9/23/22,3274,2022_0923_155112_050,2
9/23/22,3259,2022_0923_155230_052,2
9/23/22,3986,2022_0923_155443_054,2
9/23/22,4417,2022_0923_155546_056,2
9/23/22,3140,2022_0923_155726_058,2
9/23/22,3620,2022_0923_160011_060,2
9/23/22,3026,2022_0923_160229_062,2
9/23/22,3654,2022_0923_160420_064,2
9/23/22,3033,2022_0923_160720_066,2
9/23/22,4155,2022_0923_160851_068,2
9/23/22,3119,2022_0923_161118_070,2
9/23/22,3108,2022_0923_161235_072,2
9/23/22,3237,2022_0923_161401_074,2
9/23/22,4124,2022_0923_161941_076,2
9/23/22,4163,2022_0923_162319_078,2
9/23/22,3937,2022_0923_162536_080,2
