sample,taxonomy,Taxon,Taxon Level,Trophic Mode,Guild,Growth Morphology,Trait,Confidence Ranking,Notes,Citation/Source
repot_5_2_H,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;NA;NA,Pezizaceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph,Pezizoid,NULL,Possible,"Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
repot_5_3_B,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA,Pyronemataceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph,Gasteroid-Pezizoid,NULL,Possible,"Saprobic on soil, dung or rotten wood or mycorrhizal, some species hypogeous, others associated with fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
repot_5_3_D,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA,Pyronemataceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph,Gasteroid-Pezizoid,NULL,Possible,"Saprobic on soil, dung or rotten wood or mycorrhizal, some species hypogeous, others associated with fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
repot_5_3_E,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA,Pyronemataceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph,Gasteroid-Pezizoid,NULL,Possible,"Saprobic on soil, dung or rotten wood or mycorrhizal, some species hypogeous, others associated with fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
repot_5_3_F,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA,Pyronemataceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph,Gasteroid-Pezizoid,NULL,Possible,"Saprobic on soil, dung or rotten wood or mycorrhizal, some species hypogeous, others associated with fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
repot_5_4_C,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Tuber;s__candidum,Tuberaceae,9,Symbiotroph,Ectomycorrhizal,Gasteroid,Hypogeous,Probable,"Common name - true truffle; Mycorrhizal with broadleaved trees, growing in the surface layer of soil and closely associated with roots. Highly specific pheromone-like chemicals are produced that play a role in dispersal by attracting mammals that uproot fruit bodies and ditribute spores (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
repot_5_4_E,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae;g__Peziza;NA,Peziza,13,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph,Pezizoid,NULL,Possible,"Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte)"
repot_5_4_F,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Suillaceae;g__Suillus;s__lakei,Suillus,13,Symbiotroph,Ectomycorrhizal,Boletoid,NULL,Highly Probable,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))"
repot_5_4_H,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pustularia;NA,Pyronemataceae,9,Saprotroph-Symbiotroph,Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph,Gasteroid-Pezizoid,NULL,Possible,"Saprobic on soil, dung or rotten wood or mycorrhizal, some species hypogeous, others associated with fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
repot_5_5_B,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Tuber;s__candidum,Tuberaceae,9,Symbiotroph,Ectomycorrhizal,Gasteroid,Hypogeous,Probable,"Common name - true truffle; Mycorrhizal with broadleaved trees, growing in the surface layer of soil and closely associated with roots. Highly specific pheromone-like chemicals are produced that play a role in dispersal by attracting mammals that uproot fruit bodies and ditribute spores (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
repot_5_5_C,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Tuber;s__quercicola,Tuberaceae,9,Symbiotroph,Ectomycorrhizal,Gasteroid,Hypogeous,Probable,"Common name - true truffle; Mycorrhizal with broadleaved trees, growing in the surface layer of soil and closely associated with roots. Highly specific pheromone-like chemicals are produced that play a role in dispersal by attracting mammals that uproot fruit bodies and ditribute spores (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)"
