plate,column,row,re_plate,re_column,re_row
219009,6,E,repot6,3,G
219009,6,F,repot6,3,H
219009,6,G,repot6,4,A
219011,12,D,repot6,4,B
219011,12,F,repot6,4,C
219011,12,G,repot6,4,D
219012,6,C,repot6,4,E
219012,6,E,repot6,4,F
219012,6,H,repot6,4,G
219012,7,A,repot6,4,H
219012,8,C,repot6,5,A
219012,8,D,repot6,5,B
219013,1,D,repot6,5,C
219013,1,G,repot6,5,D
219014,7,A,repot6,5,E
219015,1,F,repot6,5,F
219016,7,E,repot6,5,G
