seedling_id,pustularia_sp,tuber_candidum,cenococcum_sp,rhizopogon_hawkerae,peziza_sp,suillus_lakei,pulled_tips,ecto_tips,prop_assign,prop_colonized
4397,1,0,0,0,0,0,2,1,0.5,0.06280193236714976
4398,0,0,0,2,0,0,8,2,0.25,0.5652173913043478
4399,2,0,0,1,0,0,4,3,0.75,0.08029197080291971
4400,4,0,0,4,0,0,8,8,1,0.6737588652482269
4401,2,0,0,2,0,0,4,4,1,0.2413793103448276
4402,0,0,0,3,0,0,4,3,0.75,0.44808743169398907
4403,0,0,0,4,0,0,4,4,1,0.20714285714285716
4404,2,0,0,2,0,0,4,4,1,0.2366412213740458
4407,0,0,0,8,0,0,8,8,1,0.49162011173184356
4408,0,0,0,4,0,0,4,4,1,0.26666666666666666
4410,0,0,0,4,0,0,4,4,1,0.2733812949640288
4412,6,0,0,2,0,0,8,8,1,0.7615894039735099
4413,0,0,0,3,0,0,4,3,0.75,0.5416666666666666
4415,5,0,0,2,0,0,8,7,0.875,0.4732142857142857
4416,0,0,0,4,0,0,4,4,1,0.2621359223300971
4417,1,0,0,1,0,0,4,2,0.5,0.1774193548387097
4418,0,0,0,8,0,0,8,8,1,0.09359605911330049
4419,0,0,0,4,0,0,4,4,1,0.2905982905982906
4422,1,0,0,6,0,0,8,7,0.875,0.6078431372549019
4424,1,0,0,4,0,0,8,5,0.625,0.3006993006993007
4426,0,0,0,1,0,0,4,1,0.25,0.32575757575757575
4429,0,0,0,4,0,0,4,4,1,0.20481927710843373
4435,0,0,0,4,0,0,4,4,1,0.2727272727272727
