seedling_id,height_cm,additional_height,diameter_mm,chlorosis,leaf_count,
3558,11.6,3.5,4.1,,3,
3589,11.2,2,3.7,,14,
4140,12.9,3,4.3,,4,
4157,7.5,2,5,,7,
4004,19,1,4.5,,9,
3270,7,0,2.3,0,,
3269,4.4,1,1.8,0,,
3872,9.1,14,2.2,1,,
3251,5.9,1,1.6,0,,
3007,7.1,3.5,3.9,,19,
4139,8.6,4,3.5,,9,
3398,4.6,0.5,1.7,0,,
3412,6.4,0,1.8,0,,
4097,6.2,11,2.6,,18,dead
3529,14.7,0,4.9,,20,dead
3117,8.5,0,4.6,,8,
3102,10.5,0,3.8,,7,
3826,6,6,1.5,0,,
3557,8.5,6,2.8,,12,
4345,9,16,3.6,5,,
3957,6.7,15,2.4,5,,
3845,8.5,20,2.7,4,,
3484,1.6,1,3.5,,13,
4403,8.7,13,2.4,4,,
3591,11.7,0,2.4,,5,
3379,4.5,2,2.5,0,,
3358,5.3,2,1.7,0,,
4075,7.8,0,3.9,,10,
4069,4.8,0,3.4,,8,
4083,7.8,1,6.3,,6,
3110,9.7,5,6.3,,9,
3482,6.1,0,3.8,,6,
4158,5.3,0,3.1,,5,dead
4152,8.8,6.5,3.3,,17,
3563,5.2,0,2.8,,,
3605,10.6,0,2.7,,13,dead
4037,5.8,3,2.8,,13,dead
3552,12.6,1.5,4.5,,19,
4070,5.6,0,3.6,,5,
3936,7.6,16.5,2.3,5,,
3964,8.1,0,2.9,,10,
3505,10.6,0,4.2,,5,
3496,12,1.5,4.3,,5,
4305,8.1,4,1.9,5,,
4310,8.8,7,1.8,3,,
3965,10.4,6,4.7,,14,
3774,9.9,9,2.4,5,,
3012,8.6,2,3,,20,
4165,7.3,0,4.4,,5,
3545,14.7,7,4.8,,14,
3184,5.1,0,3.1,,4,
4246,8.4,5,3,5,,
3711,24.1,0,6.6,,8,
4266,8.3,11,1.9,0,,
4398,13.5,45,3.6,5,,
3696,21.3,4,4.8,,13,
3963,4.8,4,2.3,,4,
3876,7.1,14,1.3,1,,
3586,26.1,2.5,5,,14,
4286,8.3,10,1.6,0,,
3997,12.7,6,4.9,,20,
4361,6.5,9,2.1,4,,
3847,3.9,3,1.4,3,,
4261,6.2,6.5,3,5,,
3954,5.2,3,1.1,0,,
3887,8.5,1.5,1.7,5,,
4307,7.5,14.5,2.6,5,,
