seedling_id,seedling sp.,soil type,dead,diameter_mm,height_cm,stem_2_diameter_mm,stem_2_height_cm,notes,observer,date,timepoint
3278,P,C,,1.63,2.5,,,,,7/17,1
3269,P,C,,1.77,3.5,,,,,7/17,1
3270,P,C,,2.15,3.3,,,,,7/17,1
3263,P,C,,,,,,bg,,7/17,1
3252,P,C,,1.79,3.8,,,,,7/17,1
3241,P,C,,2.17,3.5,,,,,7/17,1
3244,P,C,,1.6,3.6,,,,,7/17,1
3286,P,C,,1.41,2.5,,,,,7/17,1
3281,P,C,,1.63,3.3,,,,,7/17,1
3274,P,C,,1.83,4.6,,,,,7/17,1
3259,P,C,,1.96,4.4,,,,,7/17,1
3260,P,C,,2.11,4.4,,,,,7/17,1
3266,P,C,,1.62,3.9,,,,,7/17,1
3246,P,C,,,,,,bg,,7/17,1
3245,P,C,,1.77,2.4,,,,,7/17,1
3288,P,C,,1.75,5.1,,,,,7/17,1
3277,P,C,,1.84,3.5,,,,,7/17,1
3276,P,C,,1.58,3.4,,,,,7/17,1
3275,P,C,,1.82,2.2,,,,,7/17,1
3267,P,C,,1.24,2.1,,,,,7/17,1
3264,P,C,,1.64,4.8,,,,,7/17,1
3251,P,C,,1.62,3.9,,,,,7/17,1
3255,P,C,,1.79,3.1,,,,,7/17,1
3471,P,C,,1.59,3.7,,,,,7/17,1
3467,P,C,,1.42,2.7,,,sprout,,7/17,1
3466,P,C,,1.65,4.1,,,,,7/17,1
3461,P,C,,1.67,3.9,,,,,7/17,1
3451,P,C,,1.93,3,,,sprout,,7/17,1
3438,P,C,,1.51,2.3,,,,,7/17,1
3475,P,C,,1.96,3.5,,,,,7/17,1
3474,P,C,,1.61,3.7,,,,,7/17,1
3477,P,C,,1.83,3.6,,3.6,,,7/17,1
3468,P,C,,1.86,3.4,,,,,7/17,1
3458,P,C,,1.9,3,,,,,7/17,1
3459,P,C,,1.69,4.4,,,,,7/17,1
3450,P,C,,1.9,3.3,,,,,7/17,1
3436,P,C,,0.98,2.1,,,,,7/17,1
3473,P,C,,2.13,3.5,,,,,7/17,1
3433,P,C,,1.82,3.5,,,,,7/17,1
3472,P,C,,1.43,4.1,,,,,7/17,1
3469,P,C,,1.81,3.4,,,,,7/17,1
3457,P,C,,1.72,3.6,,,,,7/17,1
3453,P,C,,1.7,3,,,,,7/17,1
3437,P,C,,1.87,4.7,,,,,7/17,1
3449,P,C,,1.85,4.1,,,,,7/17,1
3441,P,C,,1.86,3.5,,,,,7/17,1
3440,P,C,,1.83,2.8,,,,,7/17,1
3479,P,C,,1.15,2.1,,,,,7/17,1
3470,P,C,,1.78,2.3,,,,,7/17,1
3465,P,C,,1.71,2.5,,,,,7/17,1
3454,P,C,,1.49,2.1,,,,,7/17,1
3439,P,C,,1.53,2.8,,,,,7/17,1
3445,P,C,,2.05,3.4,,,,,7/17,1
3442,P,C,,1.8,3.5,,,,,7/17,1
3434,P,C,,1.59,3.5,,,,,7/17,1
3478,P,C,,1.67,3.1,,,,,7/17,1
3462,P,C,,1.81,3.4,,,,,7/17,1
3464,P,C,,1.46,1.7,,,,,7/17,1
3456,P,C,X,,,,,,,7/17,1
3452,P,C,,1.49,1.9,,,,,7/17,1
3446,P,C,,2.05,3.3,,,,,7/17,1
3476,P,C,,,,,,bg,,7/17,1
3435,P,C,,1.86,3.7,,,,,7/17,1
3480,P,C,,1.23,3.3,,,,,7/17,1
3463,P,C,,1.88,3.4,,,,,7/17,1
3466,P,C,,1.84,2.4,,,,,7/17,1
3455,P,C,,1.61,3.2,,,,,7/17,1
3448,P,C,,1.96,3.4,,,,,7/17,1
3444,P,C,,1.96,4.2,,,,,7/17,1
3447,P,C,,1.82,3.4,,,,,7/17,1
3443,P,C,,1.56,3.2,,,,,7/17,1
3370,P,C,,1.1,3.7,,,,,7/17,1
3369,P,C,,1.49,2.5,,,,,7/17,1
3344,P,C,,1.35,2.8,,,,,7/17,1
3351,P,C,,1.69,3.9,,,,,7/17,1
3380,P,C,,1.42,1.9,,,,,7/17,1
3384,P,C,,1.4,0.9,,,,,7/17,1
3357,P,C,,1.43,1.9,,,,,7/17,1
3355,P,C,,0.86,2.9,,,,,7/17,1
3368,P,C,,1.42,2.5,,,,,7/17,1
3373,P,C,,1.59,1.8,,,,,7/17,1
3343,P,C,,1.6,2.8,,,,,7/17,1
3374,P,C,,1.27,1.8,,,,,7/17,1
3381,P,C,,1.92,3.2,,,,,7/17,1
3382,P,C,,1.33,1.1,,,,,7/17,1
3365,P,C,,1.42,1,,,,,7/17,1
3356,P,C,,1.34,1.8,,,,,7/17,1
3363,P,C,,1.5,3.8,,,,,7/17,1
3371,P,C,,1.57,3.9,,,,,7/17,1
3367,P,C,,1.79,4.1,,,,,7/17,1
3359,P,C,,1.72,2.7,,,,,7/17,1
3348,P,C,,1.46,1.6,,,,,7/17,1
3378,P,C,,1.61,3.5,,,,,7/17,1
3339,P,C,,1.57,1.7,,,,,7/17,1
3340,P,C,,,,,,bg,,7/17,1
3362,P,C,,1.5,2.9,,,,,7/17,1
3372,P,C,,1.64,3.3,,,,,7/17,1
3366,P,C,,1.4,1.2,,,,,7/17,1
3360,P,C,,,,,,bg,,7/17,1
3364,P,C,,2.17,3.7,,,,,7/17,1
3379,P,C,,1.82,2.6,,,,,7/17,1
3345,P,C,X,,,,,,,7/17,1
3346,P,C,,1.25,1.1,,,,,7/17,1
3352,P,C,,1.63,2.6,,,,,7/17,1
3375,P,C,,1.69,3.2,,,,,7/17,1
3353,P,C,,1.16,2.2,,,sprout,,7/17,1
3347,P,C,,1.6,2,,,,,7/17,1
3358,P,C,,1.76,2.9,,,,,7/17,1
3377,P,C,,1.55,2.2,,,,,7/17,1
3349,P,C,,1.62,2.3,,,,,7/17,1
3342,P,C,,1.43,1.4,,,,,7/17,1
3354,P,C,,1.68,3.4,,,,,7/17,1
3376,P,C,,1.77,2.4,,,,,7/17,1
3361,P,C,,1.94,2.6,,,,,7/17,1
