Pot ID,Drought or control,Moisture,Date
211314,D ,7,10032022
211177,D ,13,10032022
211337,D ,12,10032022
211082,D ,16,10032022
211085,D ,13,10032022
211346,D ,9,10032022
211334,D ,7,10032022
211169,D ,8,10032022
211010,D ,9,10032022
211024,D ,8,10032022
211206,D ,8,10032022
211282,D ,9,10032022
211305,D ,11,10032022
211216,D ,10,10032022
211233,D ,8,10032022
211155,D ,15,10032022
211028,D ,8,10032022
211310,D ,15,10032022
211162,D ,8,10032022
211208,D ,20,10032022
211225,D ,9,10032022
211083,D ,9,10032022
211127,D ,19,10032022
211181,D ,8,10032022
211126,D ,10,10032022
211252,D ,17,10032022
211193,D ,7,10032022
211237,D ,11,10032022
211156,D ,14,10032022
211140,D ,7,10032022
211272,D ,10,10032022
211040,D ,12,10032022
211192,D ,7,10032022
211130,D ,7,10032022
211189,D ,8,10032022
211201,D ,7,10032022
211227,D ,10,10032022
211157,D ,9,10032022
211213,D ,16,10032022
211106,D ,7,10032022
211167,D ,6,10032022
211159,D ,14,10032022
211287,D ,7,10032022
211084,D ,7,10032022
211045,D ,7,10032022
211061,D ,11,10032022
211042,D ,7,10032022
211056,D ,7,10032022
211080,D ,14,10032022
211211,D ,16,10032022
211261,D ,12,10032022
211327,D ,10,10032022
211278,D ,8,10032022
211029,D ,7,10032022
211147,D ,7,10032022
211125,D ,7,10032022
211331,D ,20,10032022
211317,D ,7,10032022
211081,D ,7,10032022
211012,D ,7,10032022
211257,D ,7,10032022
211016,D ,8,10032022
211262,D ,7,10032022
211214,D ,8,10032022
211263,D ,7,10032022
211244,D ,7,10032022
211286,D ,7,10032022
211074,D ,10,10032022
211258,D ,8,10032022
211251,D ,7,10032022
211209,D ,7,10032022
211212,D ,7,10032022
211300,D ,7,10032022
211228,D ,7,10032022
211110,D ,7,10032022
211202,D ,8,10032022
211114,D ,8,10032022
211079,D ,9,10032022
211119,D ,9,10032022
211007,D ,12,10032022
211113,D ,8,10032022
211171,D ,7,10032022
211117,D ,8,10032022
211241,D ,7,10032022
211248,D ,7,10032022
211324,D ,12,10032022
211071,D ,8,10032022
211072,D ,8,10032022
211101,D ,9,10032022
211182,D ,10,10032022
211259,D ,7,10032022
211070,D ,8,10032022
211094,D ,8,10032022
211132,D ,8,10032022
211276,D ,7,10032022
211092,D ,6,10032022
211027,D ,7,10032022
211226,D ,15,10032022
211026,D ,8,10032022
211043,D ,7,10032022
211086,D ,9,10032022
211254,D ,8,10032022
211164,D ,9,10032022
211292,D ,7,10032022
211089,D ,10,10032022
211247,D ,9,10032022
211032,D ,7,10032022
211195,D ,7,10032022
211057,D ,7,10032022
211273,D ,9,10032022
211289,D ,7,10032022
211274,D ,7,10032022
211059,D ,9,10032022
211145,D ,7,10032022
211011,D ,7,10032022
211100,D ,12,10032022
211142,D ,9,10032022
211146,D ,8,10032022
211271,D ,7,10032022
211049,D ,8,10032022
211198,D ,7,10032022
211329,D ,7,10032022
211098,D ,7,10032022
211187,D ,10,10032022
211285,D ,7,10032022
211077,D ,7,10032022
211316,D ,10,10032022
211291,D ,18,10032022
211031,D ,9,10032022
211328,D ,10,10032022
211116,D ,13,10032022
211222,D ,8,10032022
211121,D ,10,10032022
211170,D ,7,10032022
211267,D ,11,10032022
211139,D ,7,10032022
211230,D ,7,10032022
211239,D ,7,10032022
211018,D ,12,10032022
211321,D ,7,10032022
211138,D ,7,10032022
211133,D ,8,10032022
211107,D ,7,10032022
211203,D ,7,10032022
211293,D ,10,10032022
211174,D ,17,10032022
211221,D ,9,10032022
211020,D ,7,10032022
211313,D ,7,10032022
211296,D ,7,10032022
211137,D ,7,10032022
211185,D ,10,10032022
211001,D ,11,10032022
211044,D ,8,10032022
211332,D ,7,10032022
211017,D ,8,10032022
211297,D ,8,10032022
211144,D ,7,10032022
211302,D ,7,10032022
211067,D ,7,10032022
211224,C,11,10142022
211322,C,12,10142022
211207,C,14,10142022
211320,C,11,10142022
211149,C,14,10142022
211246,C,15,10142022
211326,C,15,10142022
211151,C,15,10142022
211323,C,14,10142022
211325,C,15,10142022
211102,C,12,10142022
211304,C,11,10142022
211204,C,14,10142022
211124,C,17,10142022
211034,C,16,10142022
211166,C,9,10142022
211103,C,15,10142022
211153,C,31,10142022
211148,C,16,10142022
211115,C,17,10142022
211075,C,14,10142022
211229,C,15,10142022
211245,C,13,10142022
211196,C,14,10142022
211250,C,16,10142022
211256,C,14,10142022
211265,C,15,10142022
211036,C,17,10142022
211268,C,13,10142022
211255,C,15,10142022
211191,C,29,10142022
211188,C,19,10142022
211279,C,19,10142022
211294,C,20,10142022
211184,C,13,10142022
211306,C,14,10142022
211215,C,15,10142022
211136,C,15,10142022
211243,C,15,10142022
211139,C,15,10142022
211066,C,17,10142022
211307,C,14,10142022
211288,C,15,10142022
211163,C,12,10142022
211199,C,13,10142022
211319,C,18,10142022
211236,C,16,10142022
211172,C,13,10142022
211053,C,15,10142022
211060,C,28,10142022
211232,C,22,10142022
211105,C,21,10142022
211019,C,14,10142022
211038,C,16,10142022
211052,C,17,10142022
211134,C,15,10142022
211039,C,11,10142022
211095,C,17,10142022
211154,C,13,10142022
211234,C,18,10142022
211240,C,16,10142022
211311,C,16,10142022
211210,C,19,10142022
211281,C,20,10142022
211004,C,21,10142022
211175,C,15,10142022
211008,C,17,10142022
211064,C,12,10142022
211303,C,16,10142022
211173,C,14,10142022
211069,C,21,10142022
211336,C,24,10142022
211033,C,16,10142022
211205,C,16,10142022
211030,C,16,10142022
211194,C,29,10142022
211347,C,18,10142022
211068,C,15,10142022
211270,C,12,10142022
211091,C,14,10142022
211046,C,12,10142022
211015,C,14,10142022
211058,C,13,10142022
211335,C,15,10142022
211298,C,18,10142022
211097,C,16,10142022
211120,C,15,10142022
211231,C,19,10142022
211150,C,10,10142022
211186,C,23,10142022
211183,C,22,10142022
211118,C,18,10142022
211048,C,17,10142022
211078,C,14,10142022
211318,C,16,10142022
211284,C,19,10142022
211090,C,14,10142022
211073,C,18,10142022
211050,C,19,10142022
211108,C,16,10142022
211076,C,14,10142022
211260,C,17,10142022
211242,C,19,10142022
211283,C,16,10142022
211299,C,13,10142022
211035,C,19,10142022
211087,C,14,10142022
211013,C,16,10142022
211217,C,15,10142022
211197,C,13,10142022
211200,C,17,10142022
211264,C,18,10142022
211152,C,24,10142022
211065,C,19,10142022
211280,C,18,10142022
211088,C,15,10142022
211190,C,18,10142022
211266,C,17,10142022
211301,C,12,10142022
211277,C,7,10142022
211238,C,19,10142022
211158,C,28,10142022
211047,C,15,10142022
211122,C,16,10142022
211223,C,20,10142022
211180,C,18,10142022
211131,C,29,10142022
211093,C,20,10142022
211054,C,19,10142022
211269,C,15,10142022
211128,C,17,10142022
211179,C,19,10142022
211129,C,20,10142022
211006,C,29,10142022
211022,C,26,10142022
211104,C,10,10142022
211330,C,21,10142022
211178,C,13,10142022
211096,C,12,10142022
211021,C,21,10142022
211063,C,15,10142022
211109,C,14,10142022
211275,C,23,10142022
211009,C,13,10142022
211308,C,14,10142022
211112,C,32,10142022
211338,C,12,10142022
211161,C,15,10142022
211099,C,18,10142022
211111,C,21,10142022
211141,C,15,10142022
