seedling_id,seedling_sp,soil_type,neighb_sp,neighb_st,drought_treat,compartment,mass,plant_compartment,area,sapwood_diameter,sapwood_area
4404,P,P,Q,Q,D,A,0.215,aboveground,0.08413416826833653,2.28,4.082813812605295
3566,Q,Q,P,P,D,A,0.836,aboveground,0.1986845640357947,4.2,13.854423602330987
4085,Q,P,Q,C,D,A,0.96,aboveground,0.31020556485557416,5.42,23.0721706072288
3139,Q,C,Q,P,D,A,0.155,aboveground,0.04488120087351285,2.48,4.830512864159666
3518,Q,Q,Q,C,D,A,0.726,aboveground,0.10230881572874256,NA,NA
3113,Q,C,Q,Q,D,A,0.276,aboveground,0.03320278862779947,NA,NA
4067,Q,P,P,P,D,A,0.614,aboveground,0.12505252788283355,NA,NA
4370,P,P,Q,P,D,A,0.549,aboveground,0.17582546276203662,3.7,10.752100856911069
4344,P,P,P,C,D,A,0.088,aboveground,0.0589328400879024,NA,NA
3265,P,C,P,P,D,A,0.081,aboveground,0.02553543995976881,NA,NA
3580,Q,Q,Q,P,D,A,0.249,aboveground,0.04725787229352236,3.47,9.456900745652336
4027,Q,P,Q,Q,D,A,0.45899999999999996,aboveground,0.09518913482271409,4.32,14.65741468458854
3271,P,C,P,P,D,A,0.065,aboveground,0.02002259560074676,NA,NA
4268,P,P,P,C,D,A,0.396,aboveground,0.13108892884452436,NA,NA
4136,Q,P,P,Q,D,A,0.635,aboveground,0.1231150240078258,NA,NA
3755,P,Q,Q,P,D,A,0.354,aboveground,0.090668292447696,NA,NA
4046,Q,P,P,Q,D,A,0.413,aboveground,0.07965293708365194,3.79,11.281537758857286
3859,P,Q,Q,P,D,A,0.33,aboveground,0.10642149062075902,2.75,5.939573610693203
3556,Q,Q,P,Q,D,A,0.61,aboveground,0.11571289809246284,4.3,14.522012041218817
3893,P,Q,Q,Q,D,A,0.306,aboveground,0.15984837525230605,3.13,7.69446726698846
3056,Q,C,Q,P,D,A,0.352,aboveground,0.0901344024910272,NA,NA
3056,Q,C,Q,P,D,A,0.354,aboveground,0.0901344024910272,NA,NA
3987,Q,P,Q,C,D,A,0.366,aboveground,0.09271085208837083,NA,NA
3987,Q,P,Q,C,D,A,0.365,aboveground,0.09271085208837083,NA,NA
3573,Q,Q,Q,C,D,A,0.672,aboveground,0.1561989790646248,NA,NA
3096,Q,C,Q,Q,D,A,0.216,aboveground,0.04839454123352691,4.64,16.9093082986817
3339,P,C,P,Q,D,A,0.122,aboveground,0.06025550939990768,1.76,2.432849350939936
3898,P,Q,P,C,D,A,0.255,aboveground,0.1210052975661507,2.47,4.791635655071493
3827,P,Q,Q,Q,D,A,0.744,aboveground,0.16049593210297533,NA,NA
3612,Q,Q,P,Q,D,A,0.835,aboveground,0.11010533132177376,NA,NA
4175,Q,P,P,P,D,A,0.664,aboveground,0.11913323826647654,4.14,13.461410361366903
4237,P,P,Q,P,D,A,0.381,aboveground,0.13589566068021025,2.45,4.714352475793184
4274,P,P,P,Q,D,A,0.207,aboveground,0.09420229951571014,2.27,4.047078196170711
3795,P,Q,P,P,D,A,0.44,aboveground,0.12330274660549322,2.95,6.834927516966294
3764,P,Q,P,C,D,A,0.206,aboveground,0.06607146547626429,NA,NA
3382,P,C,P,Q,D,A,0.115,aboveground,0.05472372055855223,NA,NA
3643,Q,Q,Q,Q,D,A,0.218,aboveground,0.04332258664517329,NA,NA
3646,Q,Q,Q,Q,D,A,0.635,aboveground,0.11579728715012984,NA,NA
3434,P,C,P,Q,D,A,0.102,aboveground,0.04018641370616074,NA,NA
3900,P,Q,P,C,D,A,0.289,aboveground,0.13183120810686066,NA,NA
3697,Q,Q,P,Q,D,A,0.89,aboveground,0.20071851254813625,NA,NA
3697,Q,Q,P,Q,D,A,0.884,aboveground,0.20071851254813625,NA,NA
3771,P,Q,Q,Q,D,A,0.164,aboveground,0.06422868401292359,NA,NA
3771,P,Q,Q,Q,D,A,0.163,aboveground,0.06422868401292359,NA,NA
3708,Q,Q,Q,Q,D,A,0.795,aboveground,0.19883956434579536,4.74,17.64601177594851
3709,Q,Q,Q,Q,D,A,0.687,aboveground,0.12288769021982487,4.86,18.55079046018237
3873,P,Q,P,C,D,A,0.482,aboveground,0.22341572460922696,NA,NA
3475,P,C,P,Q,D,A,0.075,aboveground,0.03204028630279482,NA,NA
3645,Q,Q,Q,C,D,A,0.538,aboveground,0.10780443783109787,NA,NA
3186,Q,C,Q,Q,D,A,0.503,aboveground,0.09321201975737284,NA,NA
4424,P,P,Q,P,D,A,0.07,aboveground,0.02942939219211771,NA,NA
3998,Q,P,P,P,D,A,0.436,aboveground,0.11275755884845104,NA,NA
3650,Q,Q,P,P,D,A,0.362,aboveground,0.05885533993290209,2.99,7.021538120589528
4265,P,P,Q,Q,D,A,0.39,aboveground,0.12981275962551925,2.61,5.3502108288797565
4265,P,P,Q,Q,D,A,0.422,aboveground,0.12981275962551925,2.61,5.3502108288797565
3241,P,C,P,P,D,A,0.139,aboveground,0.05940989659757097,NA,NA
4251,P,P,P,C,D,A,0.263,aboveground,0.107001880670428,NA,NA
3044,Q,C,Q,C,D,A,0.224,aboveground,0.0306091167737891,NA,NA
3045,Q,C,Q,C,D,A,0.461,aboveground,0.03940452325349095,NA,NA
4015,Q,P,Q,Q,D,A,0.67,aboveground,0.13157976315952633,3.41,9.13268838380187
3581,Q,Q,Q,P,D,A,0.533,aboveground,0.09339974235504028,3.31,8.604900817998784
3619,Q,Q,Q,Q,C,A,0.516,aboveground,0.0958005249343832,NA,NA
3621,Q,Q,Q,Q,C,A,0.182,aboveground,0.03553812663180882,NA,NA
4063,Q,P,P,P,C,A,0.659,aboveground,0.15907509592796965,2.72,5.810689772079683
4379,P,P,Q,P,C,A,0.281,aboveground,0.10236909362707612,2.52,4.987592496839156
3327,P,C,P,P,C,A,0.015,aboveground,0.01441675105572433,NA,NA
4311,P,P,P,C,C,A,0.24,aboveground,0.09420918841837685,NA,NA
4367,P,P,Q,Q,C,A,0.197,aboveground,0.08234133134932936,2.3,4.1547562843725006
3614,Q,Q,P,P,C,A,0.414,aboveground,0.07988888199998623,3.5,9.62112750161874
4410,P,P,P,C,C,A,0.538,aboveground,0.19169060560343337,3.3,8.55298599939821
3261,P,C,P,P,C,A,0.24300000000000002,aboveground,0.10105847989473755,2.45,4.714352475793184
3856,P,Q,Q,P,C,A,0.309,aboveground,0.10316992856207936,NA,NA
4013,Q,P,P,Q,C,A,0.491,aboveground,0.12580514049916988,NA,NA
3640,Q,Q,Q,Q,C,A,0.939,aboveground,0.13764027528055056,NA,NA
3599,Q,Q,Q,Q,C,A,0.634,aboveground,0.11825318095080636,NA,NA
3849,P,Q,P,Q,C,A,0.418,aboveground,0.14117944902556473,NA,NA
3817,P,Q,P,Q,C,A,0.197,aboveground,0.07078175267461646,NA,NA
4378,P,P,Q,P,C,A,0.229,aboveground,0.07064053016994921,2.67,5.599024967044069
4089,Q,P,P,P,C,A,0.383,aboveground,0.07883660211764869,1.88,2.775911268711941
3825,P,Q,P,C,C,A,0.229,aboveground,0.11424556182445698,2.4,4.523893421169302
3338,P,C,P,Q,C,A,0.28800000000000003,aboveground,0.0899260131853597,2.61,5.3502108288797565
3752,P,Q,P,Q,C,A,0.367,aboveground,0.12778053333884443,NA,NA
3739,P,Q,P,Q,C,A,0.101,aboveground,0.03259484296746371,NA,NA
3151,Q,C,Q,C,C,A,0.679,aboveground,0.05773244879823093,NA,NA
3191,Q,C,Q,C,C,A,0.397,aboveground,0.05134299157487203,NA,NA
3785,P,Q,P,Q,C,A,0.428,aboveground,0.15778687112929782,3.34,8.761587751596574
3777,P,Q,P,Q,C,A,0.335,aboveground,0.10617693457609136,3.06,7.354154242788347
3260,P,C,P,P,C,A,0.155,aboveground,0.08004388230998684,NA,NA
4400,P,P,P,C,C,A,0.338,aboveground,0.12223152224082226,NA,NA
3799,P,Q,Q,Q,C,A,0.41100000000000003,aboveground,0.13217565324019534,3.16,7.842671900421561
3679,Q,Q,P,Q,C,A,0.279,aboveground,0.05292571696254503,3.94,12.192206929316628
3600,Q,Q,Q,C,C,A,0.6619999999999999,aboveground,0.15708075860596166,5.24,21.56514861130178
3046,Q,C,Q,Q,C,A,0.963,aboveground,0.1492618540792637,NA,NA
4061,Q,P,Q,Q,C,A,0.35600000000000004,aboveground,0.07705582077830822,3.18,7.942260387540356
3483,Q,Q,Q,P,C,A,0.32,aboveground,0.05071265698086952,2.91,6.650830187465933
3118,Q,C,Q,C,C,A,0.363,aboveground,0.06022450933790756,2.62,5.391287152825445
3136,Q,C,Q,C,C,A,0.511,aboveground,0.092003017339368,4.15,13.526519869112557
3000,Q,C,Q,P,C,A,0.977,aboveground,0.206332968221492,6.28,30.974846927333925
4014,Q,P,Q,C,C,A,0.392,aboveground,0.07614820785197125,3.8,11.341149479459153
4029,Q,P,Q,P,C,A,0.188,aboveground,0.03873974414615495,3.53,9.786767974279263
4056,Q,P,Q,P,C,A,0.497,aboveground,0.08619567239134478,5.61,24.718129538260836
4159,Q,P,Q,C,C,A,0.361,aboveground,0.11470711830312548,4.15,13.526519869112557
3114,Q,C,Q,P,C,A,0.449,aboveground,0.08719284105234877,4.42,15.343852679397909
3837,P,Q,Q,Q,C,A,0.30800000000000005,aboveground,0.09965658820206527,3.12,7.645379881776122
3587,Q,Q,P,Q,C,A,0.743,aboveground,0.1421318398192352,4.34,14.793445646488976
3383,P,C,P,P,C,A,0.136,aboveground,0.057313947961229246,2.32,4.227327074670425
4407,P,P,P,C,C,A,0.35000000000000003,aboveground,0.12879664648218184,2.93,6.742564692950754
3335,P,C,P,Q,C,A,0.16,aboveground,0.07334786891796005,1.53,1.8385385606970868
3905,P,Q,P,C,C,A,0.479,aboveground,0.2024837938564766,2.39,4.486272849142565
3135,Q,C,Q,C,C,A,0.369,aboveground,0.07604315208630416,5.13,20.669244926314306
3132,Q,C,Q,C,C,A,0.599,aboveground,0.11429206191745717,3.48,9.511485918008457
4280,P,P,Q,P,C,A,0.583,aboveground,0.20738524810382955,NA,NA
4079,Q,P,P,P,C,A,1.027,aboveground,0.11130916706277856,NA,NA
4079,Q,P,P,P,C,A,1.022,aboveground,0.11130916706277856,NA,NA
3272,P,C,P,P,C,A,0.14600000000000002,aboveground,0.0608858439939102,1.42,1.5836768566746147
3272,P,C,P,P,C,A,0.16,aboveground,0.0608858439939102,1.42,1.5836768566746147
4293,P,P,P,C,C,A,0.364,aboveground,0.14212839536790184,2.31,4.190963139705124
4195,Q,P,Q,C,C,A,0.814,aboveground,0.11679273358546716,NA,NA
3008,Q,C,Q,P,C,A,0.81,aboveground,0.12090713070315028,NA,NA
3008,Q,C,Q,P,C,A,0.806,aboveground,0.12090713070315028,NA,NA
3532,Q,Q,P,P,C,A,0.373,aboveground,0.05455838689455156,NA,NA
4228,P,P,Q,Q,C,A,0.172,aboveground,0.0723937558986229,NA,NA
4255,P,P,Q,Q,C,A,0.132,aboveground,NA,2.37,4.411502943987127
3584,Q,Q,P,P,C,A,0.823,aboveground,0.17726524341937572,4.48,15.763255298652147
3250,P,C,P,C,C,A,0.071,aboveground,0.03348867808846729,NA,NA
3438,P,C,P,C,C,A,0.039,aboveground,0.02505666122443356,NA,NA
3254,P,C,P,P,C,A,0.08499999999999999,aboveground,0.03757896404681697,2.45,4.714352475793184
4253,P,P,P,C,C,A,0.131,aboveground,0.06450251789392467,2.24,3.940813824663037
4399,P,P,P,P,C,A,0.214,aboveground,0.09763986194639056,2.45,4.714352475793184
4227,P,P,P,P,C,A,0.408,aboveground,0.13354310041953416,3.35,8.814130888727863
4133,Q,P,P,Q,C,A,0.621,aboveground,0.11107149992077762,NA,NA
3850,P,Q,Q,P,C,A,0.115,aboveground,0.04289891913117159,NA,NA
3626,Q,Q,Q,Q,C,A,0.386,aboveground,0.10157686982040633,NA,NA
3626,Q,Q,Q,Q,C,A,0.387,aboveground,0.10157686982040633,NA,NA
3629,Q,Q,Q,Q,C,A,0.786,aboveground,0.16511321911532711,NA,NA
3629,Q,Q,Q,Q,C,A,0.792,aboveground,0.16511321911532711,NA,NA
4316,P,P,P,Q,C,A,0.274,aboveground,0.10285820571641141,2.17,3.698361411622244
3885,P,Q,P,P,C,A,0.33,aboveground,0.11052210993310875,2.26,4.0114996593688055
4221,P,P,Q,Q,C,A,0.272,aboveground,0.1234405246588271,NA,NA
3549,Q,Q,P,P,C,A,0.755,aboveground,0.1862363169170783,NA,NA
3746,P,Q,Q,Q,C,A,0.21200000000000002,aboveground,0.09799808488505864,NA,NA
3623,Q,Q,P,Q,C,A,0.42900000000000005,aboveground,0.09836836340339347,3.49,9.566228169997261
3542,Q,Q,P,Q,C,A,0.514,aboveground,0.1230547461094922,NA,NA
