Seedling_id,Height_cm,Diameter_mm,Leaf_count,Chlorosis,Branching,Notes
3899,6.4,2.9,,3,19,
3736,8.2,3.5,,2,18.5,
3284,5.9,2.1,,0,6,
4285,8.8,3.8,,3,21,
4279,7.5,2.7,,3,6.5,
3728,10.7,4,,2,17,
3052,6.4,3.9,16,,1,
3551,9.7,3.8,10,,8,
3772,10,3.6,,3,10.5,
3982,11.7,5.4,25,,12,
3734,7.4,3.8,,4,24,
4335,7,1.9,,0,5,
4038,12.6,4.7,15,,2,
3547,7.1,2.6,6,,,
4134,20.8,7.6,18,,5,
3824,6.9,2.6,,5,10,
3973,6.3,7.6,10,,,
4160,7,4.5,10,,,
4254,9.4,3.1,,2,16,
3725,8,3.6,,4,18,
4412,7.3,2.8,,5,16,
3426,3.5,1.2,,0,2,
3798,7.8,3.3,,0,11,
4278,6.8,2.4,,0,13.5,
3810,5.7,3,,0,4,
3630,7.9,4.3,,5,6,
4318,10.8,4.9,,4,16,
4405,9.3,3.3,,4,17,
3834,8.7,2.7,,0,15,
4397,8.2,3.8,,4,25.5,
4047,11.7,4.8,10,,6,
4419,8.6,2.1,,0,7,
3568,16.1,5,6,,4.5,
3842,6.3,3.7,,0,25,
3544,8.7,4.6,23,,4,
4024,7,3.6,6,,3,
4394,6.5,3.5,,4,22,
4043,6.2,3.2,14,,1,b
4334,9,3.1,,3,13.5,
3680,8.3,5.1,8,,3.5,
4396,8.5,3.6,,4,27,
3377,5.3,2.6,,2,12,
4148,8.4,3.9,8,,,
3058,5.5,2.7,3,,,b
3835,7.1,3.4,,3,13,
3498,10,4.1,13,,4,
4238,7,3.1,,5,21,
3916,7.3,3.3,,3,13,
4380,6.6,4,,1,16,
4105,9.3,5.1,12,,6,
3808,6.1,3.2,,4,17,
4222,6.2,2.9,,5,15,
3415,3.9,1.4,,0,,
3862,5.3,2.5,,3,10,
3812,4.2,2.9,,0,9,
3513,6.7,2.3,8,,6.5,b
3011,9,5.1,6,,6,
3027,8.3,4.8,8,,,
3539,8.5,6.1,10,,9,
3918,7.6,3.4,,3,7,
3855,10.6,4,,0,15,
4001,10.9,6.2,5,,7,
4257,6.5,2,,0,2.5,
4092,15.2,4.9,19,,10.5,
4036,7.9,4.8,14,,4,
3536,11.3,5.7,18,,1,
4147,6.3,7.7,16,,8.5,
4151,7.6,4.3,10,,4,
3985,10.8,5.5,7,,7,
4269,7.6,3.4,4,,28,
4192,7.3,4.1,8,,2,
3943,5.3,2.9,4,,10,
3519,9,4.6,1,,1.5,
4095,8.1,6.1,13,,3.5,
4205,6.1,3.1,,3,14,
3828,7,3.6,,2,17.5,
3111,12.3,7.5,5,,,
3126,3.9,3.5,7,,3,
3038,37.8,6.2,0,,,b
3481,6.4,3.5,2,,,
3244,6.3,3.1,,5,10,
4233,6.5,2.1,,0,,
4100,8,5.3,12,,4.5,
3732,6,3.7,,4,38,
3894,6.3,2.6,,0,9,
4123,6.2,5.5,4,,4,
3806,10.1,3.6,,0,24,
3705,9.8,3.4,8,,,b
3013,10.4,5.6,10,,2.5,
3980,10.8,5.9,5,,,
4011,9,5,26,,12,
4308,7.7,3.2,,5,26,
4002,10.7,5.2,12,,7,
3778,8.3,2.8,,4,13,
3508,10.5,4.9,3,,,
4276,14.9,4,,4,31,
3897,7.4,2.1,,0,8.5,
3378,7,2.8,,3,5.5,
3700,19.6,5.9,16,,6,
3787,6.6,2.3,,0,12,
3594,5.2,5.8,3,,,
3087,7.8,3.6,14,,1,
3127,5.1,4.7,0,,,b
3129,5.5,6.3,18,,10,
4185,9.5,5.1,17,,5,
3946,10.5,4,,4,17.5,
3266,6.9,2.6,,4,5,
4283,6.6,3.8,,5,16,
4099,7.6,4.2,9,,1.5,
3506,10.8,6.8,25,,14,
4132,10.7,4.3,6,,,
4282,8.8,3.3,,4,13.5,
4413,8.8,4.1,,3,14,
3530,14.5,4.3,23,,6,
4284,7.9,3.5,,4,22.5,
3603,6.1,6.7,15,,6,
3738,6.8,2.1,,0,10,
3252,7.2,2.9,,5,8,
4044,14.9,7.1,9,,6.5,
3197,28.5,5.8,2,,,b
4005,4,4.5,5,,8,
3504,18,5.2,13,,3.5,
3535,8.6,4.3,7,,,
3167,16.6,5.2,7,,4,
3533,9.1,3.6,10,,,
3994,15.2,7.1,11,,6.5,
4071,14.3,5.4,14,,,
4031,8.2,3.7,9,,,b
3805,8.3,3.7,,5,8,
4390,8.3,2.8,,4,17,
3718,9.5,5.1,7,,2,
3035,7,4.9,14,,1.5,
3509,9.2,4.8,16,,5,
3125,4.9,3.8,2,,1,
3616,11.1,6.3,11,,13,
3840,11.9,4.2,,4,28,
3861,8.4,3.5,,4,9,
4144,12.8,4.6,22,,7.5,
3018,5.3,4.1,0,,,b
3554,9.9,4.6,21,,6,
4309,6.8,1.7,,0,11,
3783,10.6,3.2,,5,11,
3662,20,5.8,12,,7,
3655,10.7,4.6,6,,1,
3833,12,3.3,,5,12.5,
3278,5.8,2.7,,5,4,
3414,3.5,1.8,,0,,
4336,5.2,3.2,,0,4,
4066,11.6,4.6,27,,11,
4332,9.6,3.5,,4,21,
