seedling_id,colonized,uncolonized,plate,column,A,B,C,D,E,F,G,H,tip_notes,puller
4185,0,,,,,,,,,,,,,hvm
3946,50,79,110,5,X,X,X,X,,,,,,hvm
3855,0,,,,,,,,,,,,,hvm
4149,81,91,110,5,,,,,G,G,G,G,,hvm
3127,0,,,,,,,,,,,,,hvm
3087,52,58,110,6,G,G,G,G,,,,,,hvm
4187,44,87,110,6,,,,,G,G,G,G,,hvm
4213,0,,,,,,,,,,,,,hvm
3495,55,86,110,7,G,G,G,G,,,,,,hvm
3580,0,,,,,,,,,,,,,hvm
4027,33,81,110,7,,,,,G,G,G,G,,hvm
4067,0,,,,,,,,,,,,,hvm
4370,0,,,,,,,,,,,,,hvm
4319,0,,,,,,,,,,,,,hvm
3594,0,,,,,,,,,,,,,hvm
3129,0,,,,,,,,,,,,,hvm
3573,0,,,,,,,,,,,,,hvm
3096,0,,,,,,,,,,,,,hvm
3722,0,,,,,,,,,,,,,hvm
4240,0,,,,,,,,,,,,,hvm
4147,29,105,110,8,G,G,G,G,,,,,,hvm
4151,72,98,110,8,,,,,G,G,G,G,,hvm
3985,0,,,,,,,,,,,,,hvm
4269,0,,,,,,,,,,,,,hvm
3114,0,,,,,,,,,,,,,hvm
4159,0,,,,,,,,,,,,,hvm
4373,0,,,,,,,,,,,,,hvm
3780,0,,,,,,,,,,,,,hvm
3502,13,102,110,9,E,E,E,E,,,,,,hvm
3323,0,,,,,,,,,,,,,hvm
3381,32,90,110,9,,,,,X,X,X,X,,hvm
3883,64,65,110,10,X,X,X,X,,,,,,hvm
4371,0,,,,,,,,,,,,,hvm
3744,0,,,,,,,,,,,,,hvm
3255,0,,,,,,,,,,,,,hvm
4327,0,,,,,,,,,,,,,hvm
3440,0,,,,,,,,,,,,,hvm
3854,0,,,,,,,,,,,,,hvm
4343,0,,,,,,,,,,,,,hvm
3583,0,,,,,,,,,,,,,hvm
4010,75,38,110,10,,,,,G,G,G,G,,hvm
3622,66,92,110,11,G,G,G,G,,,,,,hvm
3167,0,,,,,,,,,,,,,hvm
3535,0,,,,,,,,,,,,,hvm
4085,47,68,110,11,,,,,G,G,G,G,,hvm
3139,88,28,110,12,G,G,G,G,,,,,,hvm
3654,64,69,110,12,,,,,F,F,F,F,,hvm
3026,59,99,111,1,F,F,F,F,,,,,,hvm
3723,0,,,,,,,,,,,,,hvm
4218,0,,,,,,,,,,,,,hvm
3525,2,107,111,1,,,,,E,E,,,,hvm
3048,49,59,111,2,B,B,B,B,B,B,B,B,,hvm
3839,0,,,,,,,,,,,,,hvm
3838,0,,,,,,,,,,,,,hvm
3992,0,,,,,,,,,,,,,hvm
4008,53,114,111,3,G,G,G,G,,,,,,hvm
NA,,,,,,,,,,,,,,hvm
NA,,,,,,,,,,,,,,hvm
4165,0,,,,,,,,,,,,,hvm
3810,0,,,,,,,,,,,,,hvm
3012,0,,,,,,,,,,,,,hvm
3630,0,,,,,,,,,,,,,hvm
4276,0,,,,,,,,,,,,,hvm
4283,0,,,,,,,,,,,,,hvm
3629,0,,,,,,,,,,,,,hvm
3266,0,,,,,,,,,,,,,hvm
3918,39,70,111,3,,,,,X,X,X,X,,hvm
3828,27,73,111,4,W,W,W,W,,,,,,hvm
4323,0,,,,,,,,,,,,,hvm
3517,0,,,,,,,,,,,,,hvm
4005,0,,,,,,,,,,,,,hvm
3859,0,,,,,,,,,,,,,hvm
4046,55,64,111,4,,,,,G,G,G,G,,hvm
4170,0,,,,,,,,,,,,,hvm
3704,0,,,,,,,,,,,,,hvm
4205,0,,,,,,,,,,,,,hvm
4253,0,,,,,,,,,,,,,hvm
3254,0,,,,,,,,,,,,,hvm
3539,62,93,111,5,B,B,B,B,,,,,,hvm
3638,0,,,,,,,,,,,,,hvm
4317,0,,,,,,,,,,,,,hvm
3626,27,80,111,5,,,,,B,B,B,B,,hvm
3508,0,,,,,,,,,,,,,hvm
3566,0,,,,,,,,,,,,,hvm
4404,0,,,,,,,,,,,,,hvm
3813,58,69,111,6,X,X,X,X,,,,,,hvm
3356,57,73,111,6,,,,,X,X,X,X,,hvm
4391,0,,,,,,,,,,,,,hvm
4341,0,,,,,,,,,,,,,hvm
3504,50,74,111,7,G,G,G,G,,,,,,hvm
4274,0,,,,,,,,,,,,,hvm
3795,0,,,,,,,,,,,,,hvm
4260,51,92,111,7,,,,,X,X,X,X,,hvm
3885,0,,,,,,,,,,,,,hvm
3494,42,84,111,8,G,G,G,G,,,,,,hvm
4316,0,,,,,,,,,,,,,hvm
3385,52,69,111,8,,,,,X,X,X,X,,hvm
3793,82,47,111,9,X,X,X,X,,,,,,hvm
4227,0,,,,,,,,,,,,,hvm
4399,0,,,,,,,,,,,,,hvm
